TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
STRAIGHT OR BOX TRUCK,STAR MUTUAL,NO APLICA,"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
DRIVERS INTERNACIONALES,PROGRESSIVE,APLICA,-,
DRIVERS INTERNACIONALES,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
DRIVERS INTERNACIONALES,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
DRIVERS INTERNACIONALES,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS INTERNACIONALES,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
DRIVERS INTERNACIONALES,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
DRIVERS INTERNACIONALES,GEICO,APLICA,-,
DRIVERS INTERNACIONALES,AMWINS,NO APLICA,Solo con NICO,SOLO_NICO
DRIVERS INTERNACIONALES,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
DRIVERS INTERNACIONALES,SGA,NO APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS INTERNACIONALES,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS INTERNACIONALES,AONE,NO APLICA,3+ años en el negocio,BUSINESS_YEARS_3+
DEBRIS REMOVAL,AMWINS,NO APLICA,"Solo con NICO, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|SOLO_NICO
DEBRIS REMOVAL,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
DEBRIS REMOVAL,PROGRESSIVE,APLICA,-,
DEBRIS REMOVAL,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
DEBRIS REMOVAL,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
DEBRIS REMOVAL,STAR MUTUAL,NO APLICA,"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
DEBRIS REMOVAL,GEICO,APLICA,-,
DEBRIS REMOVAL,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
DEBRIS REMOVAL,GEICO,APLICA,-,
HAZARDOUS MATERIALS,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
HAZARDOUS MATERIALS,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
HAZARDOUS MATERIALS,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
HAZARDOUS MATERIALS,ONE80,APP,"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",MIN_UNITS_5
HAZARDOUS MATERIALS,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
HAZARDOUS MATERIALS,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
HAZARDOUS MATERIALS,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
HAZARDOUS MATERIALS,SGA,APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
HAZARDOUS MATERIALS,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
GRAIN,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
GRAIN,PROGRESSIVE,APLICA,-,
GRAIN,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
GRAIN,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
GRAIN,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
GRAIN,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
GRAIN,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
GRAIN,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
GRAIN,GEICO,APLICA,-,
GRAIN,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
GRAIN,STAR MUTUAL,NO APLICA,"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
GRAIN,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
GRAIN,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
GRAIN,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
GRAIN,MAXIMUM,NO APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS DE OTROS ESTADOS,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
DRIVERS DE OTROS ESTADOS,XPT,APP,Compromiso/Prueba de sacar licencia de TX ,LICENSE_TX_REQUIRED
DRIVERS DE OTROS ESTADOS,PROGRESSIVE,APLICA,-,
DRIVERS DE OTROS ESTADOS,ROCKLAKE,NO APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
DRIVERS DE OTROS ESTADOS,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
DRIVERS DE OTROS ESTADOS,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
DRIVERS DE OTROS ESTADOS,GEICO,APLICA,-,
DRIVERS DE OTROS ESTADOS,AMWINS,APLICA,-,
